Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
244975_at	8.49637287772543	8.99345283541089	8.29447263948958	10.4622287604856	8.9445817208411	9.86182770228149	0.102217868538993	0.372439966245276
244976_at	11.7216958336612	11.9444957809021	11.7457037392412	12.891375959501	12.2497642482301	12.7205947208575	0.0382576589009948	0.303130935989936
244977_at	4.90239168399568	5.381727053819	5.10467681989392	5.46984609995222	4.15976304982837	5.83065574673357	0.967528386841254	0.98493105283801
244978_at	11.7011186095777	11.9103120522166	11.7086706798345	12.5515158215048	11.7453026332199	12.0436486388477	0.282757970109631	0.553053446938833
244979_at	11.816871619817	11.8659659672813	11.4101899117156	12.4876353363811	11.6112930780286	12.2481237886527	0.253012725467382	0.527874849388931
244980_at	11.5947924764027	12.3601577822345	11.9936940323655	12.5310126966442	12.0939043647203	12.174985075652	0.346065451720939	0.605457644071251
244981_at	10.067561142547	10.3030414340901	10.1540165603736	10.4772458366229	10.0722387890016	10.1117879323655	0.775310298073114	0.890564402208064
244982_at	12.17291212767	12.1995102214993	11.7064477082562	12.5410985874899	11.6944438522719	12.3137045001345	0.632903008838048	0.806644556718773
244983_at	11.4571468883123	11.6342306427604	11.1784089488299	12.0312207434817	11.1894925022947	11.4310979045592	0.683092911164789	0.83901509362279
244984_at	12.0747394776245	12.2584756445137	11.8029610104148	12.5046048537079	11.5606263589368	11.5805555258866	0.665439009933148	0.827771898877339
244985_at	12.2569930526262	12.0338995266999	11.6847216740456	12.9264731325435	11.7581390645852	12.0277555889536	0.576217454997553	0.768851719713026
244986_at	11.5748692730724	11.6274735203506	11.7217140600857	11.8122458873528	11.2957084885565	11.451228532498	0.514453137636918	0.729719155324803
244987_s_at	14.1237119807118	14.1016625617599	13.7755173501739	14.4050365249393	14.1531020554752	14.3838180262479	0.0930962431471987	0.361936960471185
244988_s_at	11.327774906043	12.2123960423524	11.2948840454007	12.9601667195626	12.2932863778284	12.8901143954603	0.0458016730807595	0.309389093499632
244989_s_at	6.05908033278841	5.52097721742421	5.27518203519728	5.28746730476563	4.98644838907345	5.33715598976101	0.208419917672303	0.485603505833017
244990_s_at	5.04401004299681	4.48702085388787	5.44443797976317	5.62607109058198	4.29220661055561	4.47628200196672	0.721696482275548	0.860608875453153
244991_s_at	4.95764626632509	4.93320360945603	5.14238200154692	5.70532992720496	4.89221627163302	5.21710889094855	0.386626789083744	0.638222395353901
244992_s_at	13.4051722056373	13.7088257986205	13.1220515698632	13.994158244705	13.2800619313931	13.5915507301457	0.477712540047755	0.704690101434993
244993_s_at	11.4279230045339	11.5537149819566	11.292261230908	11.8865360382591	11.3014853002917	11.2891419531243	0.772457377308015	0.888809159422711
244994_at	1.00834447675006	5.03380023527883	1.37051064839361	3.71477734243286	1.19614669587819	3.84223013284919	0.789102820952327	0.899428692460168
244995_at	5.06371194548996	6.55724251527393	5.11919582699575	7.34869745754905	5.80296267338109	6.27372138526149	0.252503827231188	0.527534908187916
244996_at	9.43177822775449	9.73578541265622	9.10578129415102	10.3579190539724	9.49711905841372	9.60451313195467	0.300937839840051	0.569832569560692
244997_at	8.72947300740354	8.06038344559283	9.49139966962778	9.51102082532576	8.17027207272069	9.18864066768021	0.751346546928465	0.877531302921956
244998_at	8.94150125245073	8.7061249169191	9.3004776828994	10.0579776681509	9.77722334069423	10.1367496071429	0.0120369666102947	0.267605466258112
244999_at	3.78600027929758	4.48098321907622	5.2771720393402	4.34366707258372	4.00906322192542	3.95452953827523	0.442594970004777	0.681295597377094
245000_at	6.22829171715449	6.52593112426579	6.02981039999704	7.86278565239714	6.95573739966778	7.5591928776671	0.0275643710005448	0.289172762629658
245001_at	14.0470329001669	13.7948104530886	13.7526737661685	14.1582104781025	12.851635821376	13.6132682757925	0.485569337178241	0.711083499039271
245002_at	6.72438866371318	7.8713659303897	6.500340864494	7.81192920631945	7.43314115046463	7.90952959672236	0.242711234802618	0.518215733053617
245003_at	9.39309190534554	9.98519323933461	9.76632255699802	11.7540314466218	10.0986338450128	11.5095806169752	0.100368460386872	0.370333966584365
245004_at	10.7665637051779	11.030402683859	10.5149026521311	12.1691043319515	11.1058783748058	11.5753029820826	0.0928875900880836	0.361729973441756
245005_at	5.38915002612724	5.55067623243945	3.58739435714867	5.51407325405123	5.41417426227084	5.1778123644899	0.492011044307051	0.715548448767529
245006_at	12.7535228536621	13.250514363234	12.5364307441999	13.7972850404085	13.2909543083686	13.610577933828	0.0559735656641032	0.319989231277743
245007_at	6.23003596909253	5.82181433648133	5.63159320554152	6.98675664704398	5.77675250608717	6.44060197135454	0.287619757138481	0.557542845273115
245008_at	9.29781027870638	8.72937580003829	8.44698886758546	9.3533394002	8.42478678624066	8.63379905339098	0.958716430131052	0.981622666297582
245009_at	13.008444604485	12.8256320339475	12.6736631274707	13.7682268080358	12.6297720181198	13.5396173408713	0.302333974040504	0.57088062482317
245010_at	9.24737160714534	10.0803434540158	8.49343897703016	11.9332138533949	10.0354053431534	11.0390062473944	0.074794996240114	0.342980497424112
245011_at	10.0357840786572	10.3598916558434	9.2695496387202	11.804411675877	10.2969612442289	11.1291597939786	0.0994509577898895	0.369651040390214
