ID	logFC	P.Value
245255_at	0.107774817	0.538696807
245256_at	-0.511421104	0.113452351
245257_at	0.144229591	0.82443141
245258_at	-0.756011338	0.021070223
245259_at	-0.576103123	0.129693837
245260_at	-0.412159995	0.104902636
245261_at	0.129096921	0.014472955
245262_at	0.2243683	0.332527101
245263_at	0.316472388	0.258100201
245264_at	1.309302906	0.077845598
245265_at	0.360191231	0.450482058
245266_at	0.090134769	0.513244796
245267_at	-0.540352305	0.408259222
245268_at	-0.327325163	0.112172887
245269_at	-0.251489178	0.051837595
245270_at	-0.383526647	0.029435666
245271_at	-0.376339013	0.047090331
245272_at	1.002703508	0.018655824
245273_at	-0.344716525	0.23657509
245274_at	-0.423503458	0.05141218
245275_at	0.392365368	0.744684971
245276_at	-0.097177918	0.403986482
245277_at	0.340046828	0.365569531
245278_at	0.091627503	0.470084256
245279_at	-0.174238096	0.138881352
245280_at	-0.008054567	0.754856884
245281_at	0.115035926	0.356426
245282_at	-0.14732655	0.353994435
245283_at	-0.269692957	0.253129991
245284_at	0.792641685	0.016897505
245285_s_at	-0.465334844	0.041120971
245286_at	0.03648742	0.831670341
245287_at	0.127015722	0.683903019
245288_at	0.026690035	0.797233614
245289_at	0.061526605	0.450443123
245290_at	0.091424672	0.53768698
245291_at	0.119151055	0.638634249
245292_at	-0.142673909	0.554429097
245293_at	-0.800471611	0.006950804
245294_at	-0.142754802	0.60735863
245295_at	-0.239127916	0.182926176
245296_at	1.144807882	0.068584788
245297_at	0.197860411	0.496581001
245298_at	0.010376606	0.963649312
245299_at	-0.222952706	0.032253793
245300_at	-0.410212203	0.065084283
245301_at	-0.690460575	0.033287775
245302_at	0.87741118	0.126198358
245303_at	-0.191256751	0.13468954
245304_at	0.362953099	0.103704727
245305_at	-0.352508782	0.251461663
245306_at	0.026420778	0.883250236
245307_at	0.029288285	0.903461849
245308_at	0.094541901	0.422356018
245309_at	0.055202644	0.846837912
245310_at	-0.190675727	0.174910907
245311_at	-0.054086508	0.50807033
245312_at	-0.407989807	0.156913684
245313_at	-0.235297391	0.207967613
245314_at	0.612041207	0.503861478
245315_at	-0.327306709	0.011450385
245316_at	0.189356249	0.108873178
245317_at	-0.105926883	0.448395156
245318_at	1.278976913	0.017899272
245319_at	0.806307555	0.256719868
245320_at	-0.017461589	0.874691671
245321_at	0.497751937	0.130757762
245322_at	0.300774942	0.807549356
245323_at	0.240234219	0.182249911
245324_at	0.238576848	0.206688202
245325_at	0.425849713	0.519136804
245326_at	0.381159425	0.256379701
245327_at	-0.549207449	0.112305962
245328_at	-0.265156114	0.485040149
245329_at	1.970926758	0.123006722
245330_at	0.191532531	0.302093151
245331_at	-0.607844767	0.023101943
245332_at	0.135388687	0.305417485
245333_at	-0.113372507	0.215953389
245334_at	0.283017099	0.075852808
245335_at	-0.522224336	0.779106517
245336_at	1.013792908	0.158957604
245337_at	-0.004423138	0.968521358
245338_at	0.689498966	0.107848474
245339_at	-0.733069404	0.069861078
245340_at	0.051154145	0.839991501
245341_at	0.001051219	0.997318827
245342_at	-0.138408672	0.209387732
245343_at	-0.755722568	0.005561236
245344_at	0.021438985	0.851188651
245345_at	-0.90166584	0.303282055
245346_at	1.507095104	0.128654173
245347_at	1.022726339	0.025221204
245348_at	-0.422329825	0.173833689
245349_at	1.091477153	0.01796081
245350_at	-0.190530714	0.458225071
245351_at	-0.065081621	0.128047205
245352_at	1.21262705	0.048448777
245353_at	-0.019710824	0.961653021
245354_at	1.586228118	0.067404543
245355_at	-0.11958842	0.26785426
245356_at	-0.206982035	0.057312064
245357_at	1.333958455	0.037732276
245358_at	-0.471759769	0.014618446
245359_at	0.236539627	0.413243363
245360_at	0.217032888	0.19655132
245361_at	0.149284001	0.3065063
245362_at	-0.46892434	0.058361251
245363_at	-0.282349992	0.079171836
245364_at	-0.389140734	0.085109407
245365_at	-0.348240549	0.136799778
245366_at	0.278138825	0.03305179
245367_at	-0.334427038	0.026673441
245368_at	0.274524815	0.657086291
245369_at	0.113421544	0.415868368
245370_at	0.510181403	0.058269253
245371_at	-0.483360917	0.124113372
245372_at	-0.304475487	0.091469217
245373_s_at	-0.120785572	0.272632619
245374_at	-0.363925727	0.254995211
245375_at	0.45359995	0.58439445
245376_at	-0.077129363	0.878750397
245377_at	-1.24324541	0.360141139
245378_at	-1.543010082	0.200845313
245379_at	-0.195447914	0.59484914
245380_at	0.359039521	0.372994153
245381_at	-1.389968584	0.213454045
245382_at	-0.383733315	0.085253755
245383_at	1.274694186	0.17559855
245384_at	-0.581649806	0.016429725
245385_at	0.166719605	0.219010986
245386_at	-0.402640241	0.134549318
245387_at	-0.88362378	0.005740359
245388_at	1.210547575	0.041706813
245389_at	-0.320588704	0.832030038
245390_at	0.110962147	0.438147385
245391_at	-0.063249832	0.578328957
245392_at	1.628704054	0.061758686
245393_at	-0.157654625	0.603328067
245394_at	-0.08729266	0.402959523
245395_at	0.02008704	0.864886951
245396_at	1.330317646	0.024621263
245397_at	-0.02183683	0.921423929
245398_at	-0.31199641	0.181180565
245399_at	-0.646042839	0.015053258
245400_at	0.333556262	0.127024387
245401_at	0.707800731	0.019339516
245402_at	-0.779196257	0.62027418
245403_at	-2.226488624	0.1033381
245404_at	-0.2974576	0.289219574
245405_at	-0.420563098	0.128929501
245406_at	-1.013578719	0.49563014
245407_at	0.090466174	0.461872902
245408_at	0.034157688	0.820706052
245409_at	0.15241835	0.479152592
245410_at	-1.519361794	0.023525243
245411_at	0.299255068	0.450933667
245412_at	-1.138590068	0.033976203
245413_at	0.460795785	0.122268237
245414_at	0.001787213	0.992907197
245415_at	-0.546899479	0.04995413
245416_at	-0.380172145	0.157593759
245417_at	0.292342931	0.362522852
245418_at	0.24790244	0.191019994
245419_at	-0.122029564	0.916584739
245420_at	-0.28028343	0.190234742
245421_at	0.135248113	0.619507959
245422_at	1.722234017	0.314233633
245423_at	-0.675821034	0.009780992
245424_at	-1.283317872	0.123989673
245425_at	-0.416810193	0.16603808
245426_at	-0.016499232	0.920114341
245427_at	0.383599974	0.2027379
245428_at	-0.1603649	0.463254084
245429_at	-0.495396436	0.28270618
245430_at	-0.056318956	0.832723617
245431_at	-0.149374125	0.245317872
245432_at	-0.436404346	0.076229976
245433_at	-0.443851048	0.099639328
245434_at	-0.344919696	0.089050763
245435_at	-0.538806735	0.076622959
245436_at	-1.250706864	0.285990526
245437_at	-0.645181719	0.044441916
245438_at	-0.513209283	0.16776859
245439_at	-0.301903646	0.259322702
245440_at	0.197173681	0.590619142
245441_at	-0.855355697	0.070543791
245442_at	0.191591812	0.219619169
245443_at	1.963911698	0.376143308
245444_at	-1.117774185	0.404260855
245445_at	-0.473747101	0.277090608
245446_at	-0.25002335	0.29977353
245447_at	-0.722302665	0.606896496
245448_at	0.942403594	0.140284469
245449_at	-0.108719111	0.669009636
245450_at	-0.375008068	0.805958905
245451_at	0.30812735	0.407398557
245452_at	-0.754790354	0.434021065
245453_at	0.112490356	0.812045417
245454_at	0.127294372	0.574441039
245455_at	-1.774104922	0.22977289
245456_at	0.406111933	0.040046254
245457_s_at	0.161955187	0.703309209
245458_at	-0.309285985	0.141401898
245459_at	1.071327094	0.096753016
245460_at	0.809392771	0.075477946
245461_at	-0.413314827	0.0565247
245462_at	-0.453784523	0.267334996
245463_at	-0.057808574	0.86894734
245464_at	-0.370628443	0.326254307
245465_at	-0.933118053	0.479373605
245466_at	0.244068591	0.330603219
245467_at	-0.317560915	0.347523581
245468_at	-1.731091037	0.244071337
245469_at	-1.678214552	0.510064378
245470_at	-0.117935904	0.855949129
245471_at	-0.352347153	0.779199515
245472_at	-2.73393674	0.08756443
245473_at	-3.443763902	0.044728001
245474_at	-0.076785623	0.570505199
245475_at	-0.02985187	0.956969762
245476_at	-0.96971984	0.304416236
245477_at	-0.365199174	0.107335564
245478_at	-0.150993608	0.260653745
245479_at	0.310366975	0.275983294
245480_at	-0.139980507	0.600336403
245481_at	-0.379682667	0.040827117
245482_at	-0.280081516	0.588630765
245483_at	-0.50037285	0.128302069
245484_at	-0.139822894	0.116842113
245485_at	-1.079838783	0.118559936
245486_x_at	-0.180248516	0.662868345
245487_at	-0.175751784	0.364443442
245488_at	-1.304010742	0.328831801
245489_at	-0.613611133	0.042378407
245490_at	-0.478911936	0.689695322
245491_at	-0.298055846	0.121740103
245492_at	-0.138389139	0.519093171
245493_at	-0.182177906	0.493913032
245494_at	0.097585801	0.732665357
245495_at	-0.188587207	0.146040882
245496_at	-0.349930204	0.148366494
245497_at	-2.282324249	0.214013285
245498_at	-0.219519191	0.228357421
245499_at	-0.500167207	0.05488289
245500_at	-0.684022989	0.191130352
245501_at	0.086110265	0.882781446
245502_at	-0.550135327	0.043979495
245503_at	-1.769990606	0.020259473
245504_at	0.32779702	0.288457885
245505_at	1.27879292	0.098259999
245506_at	1.368153842	0.081874223
245507_at	-0.21296142	0.663306834
245508_at	0.037387031	0.957028153
245509_at	-0.260401615	0.545918088
245510_at	-0.33914289	0.061731029
245511_at	-1.164489204	0.307297215
245512_at	-0.292680856	0.085354879
245513_at	0.000468018	0.998057405
245514_at	0.900997054	0.005872152
245515_at	-2.995662244	0.077725215
245516_at	-0.118686282	0.400299049
245517_at	0.135123154	0.298188604
245518_at	-0.198510165	0.254701507
245519_at	0.592473253	0.692245839
245520_at	-1.3933969	0.074576422
245521_at	-0.718222742	0.074743535
245522_at	-0.734533362	0.059005073
245523_at	-0.717439867	0.01882606
245524_at	-0.489301662	0.03108398
245525_at	-0.240133826	0.459767116
245526_at	0.220534634	0.277792383
245527_at	0.124006829	0.452597719
245528_at	0.339643292	0.15233361
245529_at	-0.429172293	0.030138502
