GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
261909_at	P	P	P	P	P	P	P	P	P	P	P	P
261910_at	A	A	A	A	A	A	A	A	A	A	A	A
261911_at	P	P	P	P	P	P	P	P	P	P	P	P
261912_s_at	A	A	A	A	A	A	A	A	A	A	A	A
261913_at	A	A	A	A	A	A	P	A	A	A	A	A
261914_at	A	A	A	A	A	A	A	A	A	A	A	P
261915_at	A	A	A	A	A	A	A	A	A	A	A	A
261916_at	P	A	P	P	P	M	P	P	P	P	A	P
261917_at	A	P	P	P	P	P	P	P	P	P	P	P
261918_at	A	A	A	A	A	A	A	A	A	A	A	A
261919_at	P	P	P	P	P	P	P	P	P	P	P	P
261920_at	P	P	P	P	P	P	P	P	P	P	P	P
261921_at	P	P	P	P	P	P	P	P	P	P	P	P
261922_at	A	A	A	A	A	A	A	A	A	A	A	A
261923_at	A	A	A	M	A	A	M	A	A	A	A	A
261924_at	P	P	P	P	P	P	P	P	P	P	P	P
261925_at	P	P	P	P	P	P	P	P	P	P	P	P
261926_at	P	P	P	P	P	P	P	P	P	P	P	P
261927_at	P	P	P	P	P	P	P	P	P	P	P	P
261928_at	A	A	A	P	A	A	A	M	A	A	A	P
261929_at	P	P	P	P	P	P	P	P	P	P	P	P
261930_at	P	P	P	P	P	P	P	P	P	P	P	P
261931_at	P	P	P	P	P	P	P	A	P	P	P	P
261932_at	A	A	A	A	A	A	A	A	A	A	A	A
261933_at	P	P	P	P	P	P	P	P	P	P	P	P
261934_at	P	P	P	P	P	P	P	P	P	P	P	P
261935_at	P	P	P	P	P	P	P	P	P	P	P	P
261936_at	A	A	A	A	A	A	A	A	A	A	A	A
261937_at	P	P	P	P	P	P	P	P	P	P	P	P
261938_at	P	P	P	P	P	P	P	P	P	P	P	P
261939_at	P	P	P	P	P	P	P	P	P	P	P	P
261940_at	P	P	P	P	P	P	P	P	P	P	P	P
261941_at	P	P	P	M	P	P	P	M	P	A	P	P
261942_at	A	P	M	P	P	P	P	A	P	P	P	P
261943_at	A	A	A	A	A	A	A	A	A	A	A	A
261944_at	P	P	P	P	P	P	P	P	P	P	P	P
261945_at	P	P	P	P	P	P	P	P	P	P	P	P
261946_at	A	A	A	A	A	A	A	A	A	A	A	A
261947_at	P	P	P	P	P	P	P	P	P	P	P	P
261948_at	P	P	P	P	P	P	P	P	P	P	P	P
261949_at	A	A	P	A	P	P	P	A	A	P	A	P
261950_at	P	P	P	P	P	P	P	P	P	P	P	P
261951_at	P	P	P	P	P	P	P	P	P	P	P	P
261952_at	A	A	A	A	A	A	M	A	M	A	A	A
261953_at	P	P	P	P	P	P	P	P	P	P	P	P
261954_at	P	P	P	P	P	P	P	P	P	P	P	P
261955_at	P	P	P	P	P	P	P	P	P	P	P	P
261956_at	P	P	P	P	P	P	P	P	P	P	P	P
261957_at	P	P	P	P	P	P	P	P	P	P	P	P
261958_at	P	P	P	P	P	P	P	P	P	P	P	P
261959_s_at	A	A	A	A	A	A	A	A	A	A	A	A
261960_at	A	A	A	A	A	A	A	A	A	A	A	A
261961_at	A	A	A	A	A	A	A	A	A	A	A	A
261962_s_at	A	A	A	A	A	A	A	A	A	A	A	A
261963_at	A	A	A	A	A	A	A	A	A	A	A	A
261964_at	A	A	A	A	A	A	A	A	A	A	A	A
261965_at	A	A	A	A	A	A	A	A	A	A	A	A
261966_x_at	A	A	A	A	A	A	M	A	A	A	A	A
261967_at	A	A	A	A	A	A	A	A	A	A	A	A
261968_at	A	M	P	A	A	A	P	P	A	P	A	P
261969_at	P	P	P	P	P	M	P	P	P	P	P	P
261970_at	P	P	P	P	P	P	P	P	P	P	P	P
261971_at	A	A	A	A	A	A	A	A	A	A	A	A
261972_at	P	P	P	P	P	P	P	P	P	P	P	P
261973_at	P	P	P	P	P	P	P	P	P	P	P	P
261974_at	P	P	P	P	P	P	P	P	P	P	P	P
261975_at	P	P	P	P	P	P	P	P	P	P	P	P
261976_at	A	A	A	A	A	A	A	A	A	A	A	A
261977_at	A	A	A	A	A	A	A	A	A	A	A	A
261978_at	A	A	A	A	A	A	A	A	A	A	A	A
261979_at	P	P	P	P	P	P	P	P	P	P	P	P
261980_at	A	A	A	A	A	A	A	A	A	A	A	A
261981_at	P	P	P	P	P	P	P	P	P	P	P	P
261982_at	P	P	P	P	P	P	P	P	P	P	P	P
261983_at	A	P	A	A	A	A	A	P	P	M	A	A
261984_at	P	A	A	M	M	P	A	A	A	A	A	P
261985_at	P	P	P	A	A	P	P	P	P	P	P	P
261986_s_at	A	A	A	A	M	M	A	A	A	A	A	A
261987_at	A	A	A	A	A	A	A	A	A	A	A	A
261988_at	M	M	P	A	M	P	P	P	P	A	A	P
261989_at	A	A	A	A	A	A	A	A	A	A	A	A
261990_at	M	A	A	P	A	A	M	A	M	A	A	A
261991_at	P	P	P	P	P	P	P	P	P	P	P	P
261992_at	P	P	P	P	P	P	P	P	P	P	P	P
261993_at	A	A	A	P	A	A	A	A	A	A	A	A
261994_at	A	A	A	A	A	A	A	A	A	A	A	A
261995_at	A	A	A	A	A	A	A	A	A	A	A	A
261996_at	A	A	A	A	A	A	A	A	A	A	A	A
261997_at	A	A	A	A	A	A	A	A	A	A	A	A
261998_at	M	P	P	P	P	M	A	A	A	A	A	P
261999_at	P	P	P	P	P	P	P	P	P	P	P	P
262000_at	P	P	P	P	P	P	P	P	P	P	P	P
262001_at	P	P	P	P	P	P	P	P	P	P	M	P
262002_at	A	A	A	A	A	A	A	A	A	A	A	A
262003_at	P	P	P	P	P	P	P	P	P	P	P	P
262004_at	P	P	P	P	M	A	A	P	P	A	A	P
262005_at	P	P	P	P	P	P	P	P	P	P	P	P
262006_at	P	P	P	P	P	P	P	P	P	P	P	P
262007_at	P	P	P	M	P	M	P	M	P	P	A	P
262008_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262009_at	A	A	A	A	A	A	P	P	A	A	P	A
262010_at	P	P	P	P	P	P	P	P	P	P	P	P
262011_at	A	A	A	A	A	A	A	A	A	A	A	A
262012_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262013_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262014_at	P	P	P	P	P	P	P	P	P	P	P	P
262015_at	A	A	A	A	A	A	A	A	A	A	A	A
262016_at	A	A	P	M	A	A	A	M	A	P	A	A
262017_at	P	P	P	P	P	P	P	P	P	P	P	P
262018_at	A	P	A	M	P	M	P	P	A	P	A	A
262019_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262020_at	A	A	A	A	A	A	A	A	A	A	A	A
262021_at	A	A	A	A	A	A	A	A	A	A	A	A
262022_at	A	A	A	A	A	A	A	A	A	A	A	A
262023_at	A	A	A	A	A	A	A	A	A	A	A	A
262024_at	P	P	P	P	P	P	P	P	P	P	P	P
262025_at	P	P	P	P	P	P	P	P	P	P	P	P
262026_at	P	P	P	P	P	P	P	P	P	P	P	P
262027_at	P	M	A	P	A	A	A	A	A	P	M	A
262028_at	P	A	P	M	M	P	P	A	P	P	A	P
262029_at	P	P	P	P	P	P	P	P	P	P	P	P
262030_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262031_x_at	A	A	A	A	A	A	A	A	A	A	A	M
262032_at	A	A	P	A	A	A	A	A	A	A	A	A
262033_at	A	A	A	A	A	A	A	A	A	A	A	A
262034_at	A	A	A	A	A	A	A	A	A	A	A	A
262035_at	A	A	A	A	A	A	A	A	A	A	A	A
262036_at	P	P	P	P	M	P	M	P	P	P	P	P
262037_at	A	A	A	A	A	A	A	A	A	A	A	A
262038_at	P	P	P	P	P	P	P	P	P	P	P	P
262039_at	P	P	P	P	P	P	P	P	P	P	P	P
262040_at	P	P	A	P	P	P	P	A	A	P	P	P
262041_at	A	P	A	A	A	A	A	M	P	P	A	A
262042_at	A	A	A	A	A	A	A	A	A	A	A	A
262043_at	P	P	P	P	P	P	P	P	P	P	P	P
262044_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262045_at	P	P	P	P	P	P	P	P	P	P	P	P
262046_at	A	A	A	A	A	A	A	A	A	A	A	A
262047_at	P	P	P	P	P	P	P	P	P	P	P	P
262048_at	P	P	P	P	P	P	P	P	P	P	P	P
262049_at	P	P	P	P	P	P	P	P	P	P	P	P
262050_at	P	P	A	P	P	P	P	A	A	P	P	P
262051_at	P	P	P	P	P	P	P	P	P	P	P	P
262052_at	P	P	P	P	P	P	P	P	P	P	P	P
262053_at	P	P	P	P	P	P	P	P	P	P	P	P
262054_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262055_at	P	P	P	P	P	P	P	P	P	P	P	P
262056_at	P	P	P	P	P	P	P	P	P	P	P	P
262057_at	P	P	P	P	P	P	P	P	P	P	P	P
262058_at	P	P	P	P	P	P	P	P	P	P	P	P
262059_at	P	P	P	P	P	P	P	P	P	P	P	P
262060_at	P	P	P	P	P	P	P	P	P	P	P	P
262061_at	P	P	P	M	P	P	P	P	P	A	P	P
262062_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262063_at	M	A	A	A	A	M	A	M	P	A	M	A
262064_at	P	P	P	P	P	P	P	P	P	P	P	P
262065_at	P	P	P	P	P	P	P	P	P	P	P	P
262066_at	P	P	P	P	P	P	P	P	P	P	P	P
262067_at	P	P	P	P	P	P	P	P	P	P	P	P
262068_at	P	P	P	P	P	P	P	P	P	P	P	P
262069_at	A	A	A	A	A	A	A	A	A	A	A	A
262070_at	P	P	P	M	M	P	P	P	P	P	M	M
262071_at	A	A	A	A	A	A	A	A	A	A	A	A
262072_at	P	P	P	P	P	P	P	P	P	P	P	P
262073_at	A	M	A	A	M	A	P	M	A	A	A	A
262074_at	A	A	A	A	A	A	A	A	A	A	A	A
262075_at	P	P	P	P	P	P	P	P	P	P	P	P
262076_at	P	P	P	P	P	P	P	P	P	P	P	P
262077_at	P	P	P	P	P	P	P	P	P	P	P	P
262078_at	P	P	P	P	P	P	P	P	P	P	P	P
262079_at	P	P	P	P	P	P	P	P	P	P	P	P
262080_at	P	P	P	P	P	P	P	P	P	P	P	P
262081_at	P	P	P	P	P	P	P	P	P	P	P	P
262082_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262083_at	A	A	A	A	A	A	A	A	A	A	A	A
262084_at	P	P	P	P	P	P	P	P	P	P	P	P
262085_at	P	P	P	P	P	P	P	P	P	P	P	P
262086_at	P	P	P	P	P	P	P	P	P	P	P	P
262087_at	A	A	A	A	A	A	A	A	A	A	A	A
262088_at	P	P	P	P	P	M	P	P	P	P	P	P
262089_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262090_at	P	P	P	P	P	P	P	P	P	P	P	P
262091_at	A	A	A	A	A	A	A	A	A	A	A	A
262092_at	M	A	A	P	P	P	P	A	A	A	P	A
262093_at	P	P	P	P	P	P	P	P	P	P	P	P
262094_at	P	P	P	P	P	P	P	P	P	P	P	P
262095_at	P	P	P	P	P	P	P	P	P	P	P	P
262096_at	P	P	P	P	P	P	P	P	P	P	P	P
262097_at	A	A	M	A	A	A	A	A	A	A	A	A
262098_at	P	P	P	P	P	P	P	P	P	P	P	P
262099_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262100_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262101_at	A	A	A	A	A	A	A	A	A	A	A	A
262102_at	A	A	A	A	A	A	A	A	A	A	A	A
262103_at	A	A	A	P	A	P	A	M	A	A	A	A
262104_at	P	P	P	P	P	P	P	P	P	P	P	P
262105_at	P	P	P	P	P	P	P	P	P	P	P	P
262106_at	P	P	P	P	P	P	P	P	P	P	P	P
262107_at	P	P	P	P	P	P	P	P	P	P	P	P
262108_at	A	A	M	P	P	P	P	P	P	A	P	P
262109_at	P	P	P	P	P	P	P	P	P	P	P	P
262110_at	P	P	P	P	P	P	P	P	P	P	P	P
262111_at	P	P	P	P	P	P	P	P	P	P	P	P
262112_at	P	P	P	P	P	P	P	P	P	P	P	P
262113_at	A	A	A	A	A	A	P	A	A	A	A	A
262114_at	P	P	P	P	P	P	P	P	P	P	P	P
262115_at	A	P	A	A	A	A	A	M	A	A	P	A
262116_at	P	P	P	P	P	P	P	P	P	P	P	P
262117_at	P	P	P	P	P	P	P	P	P	P	P	P
262118_at	P	P	P	P	P	P	P	P	P	P	P	P
262119_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262120_at	P	P	P	P	P	P	P	P	P	P	P	P
262121_at	A	A	A	A	A	A	A	A	A	A	A	A
262122_at	A	A	A	A	A	A	A	A	A	A	A	A
262123_at	A	A	A	A	A	A	A	A	A	A	A	A
262124_at	P	P	P	P	P	P	P	P	P	P	P	P
262125_at	A	A	A	A	A	A	A	P	M	A	A	A
262126_at	A	A	P	A	A	A	P	A	P	A	A	P
262127_at	P	P	P	P	P	P	P	P	P	P	P	P
262128_at	P	P	P	P	M	P	P	A	A	A	A	P
262129_at	P	P	P	P	P	P	P	P	P	P	P	P
262130_at	P	P	P	P	P	P	P	P	P	P	P	P
262131_at	P	P	P	P	P	P	P	P	P	P	P	P
262132_at	A	A	A	A	A	A	A	A	A	A	A	A
262133_at	P	P	P	P	P	P	P	P	P	P	P	P
262134_at	P	P	P	P	P	P	M	M	P	A	A	P
262135_at	P	P	P	P	P	P	P	P	P	P	P	P
262136_at	P	P	P	P	P	P	P	P	P	P	P	P
262137_at	P	P	P	P	P	P	P	P	P	P	P	P
262138_at	P	P	P	A	A	A	P	P	P	P	P	A
262139_at	A	A	A	A	A	A	A	A	A	A	A	A
262140_at	A	A	A	A	A	A	A	A	A	A	A	A
262141_s_at	A	A	A	A	A	A	A	A	A	A	A	A
262142_at	A	A	P	A	P	A	P	P	P	P	M	M
262143_at	P	M	P	P	P	P	P	P	P	M	P	P
262144_at	A	A	A	M	A	A	P	P	P	A	A	P
262145_at	P	P	P	P	P	P	P	P	P	P	P	P
262146_at	A	A	A	A	A	A	A	A	A	A	A	A
262147_at	A	A	P	M	A	M	A	A	A	A	A	A
262148_at	P	P	P	P	P	P	P	P	P	P	P	P
262149_at	A	A	A	A	A	A	A	M	P	A	A	M
262150_at	P	P	P	M	P	P	P	P	P	P	P	P
262151_at	P	P	M	P	P	P	P	P	P	P	P	P
262152_s_at	A	A	A	A	M	A	P	A	A	M	A	A
262153_at	P	P	P	P	P	P	P	P	P	P	P	P
262154_at	A	A	A	A	M	A	P	A	A	A	A	A
262155_at	P	P	P	P	P	P	P	P	P	P	P	P
262156_at	A	A	A	A	A	A	A	A	A	A	A	A
262157_at	P	P	P	P	P	P	P	P	P	P	P	P
262158_at	P	P	P	P	P	P	P	P	P	P	P	P
262159_at	P	P	P	P	P	P	P	P	P	P	P	P
262160_at	P	P	P	P	P	P	P	P	P	P	P	P
262161_at	P	P	P	P	P	P	P	P	P	P	P	P
262162_at	P	P	P	P	P	P	P	P	P	P	P	P
262163_at	P	P	P	P	P	P	P	P	P	P	P	P
262164_at	P	P	P	P	P	P	P	P	P	P	P	P
262165_at	P	P	P	P	P	P	P	P	P	P	P	P
262166_at	P	P	P	P	P	P	P	P	P	P	P	P
262167_at	P	A	P	P	A	P	A	P	P	A	P	A
262168_at	P	P	P	P	P	P	P	P	P	P	P	P
262169_at	P	P	P	P	P	P	P	P	P	P	P	P
262170_at	P	P	P	P	P	P	P	P	P	P	P	P
262171_at	P	P	P	P	P	P	P	P	P	P	P	P
262172_at	P	P	P	P	P	P	P	P	P	P	P	P
262173_at	P	P	P	P	P	P	P	P	P	P	P	P
262174_at	P	P	P	P	P	P	P	P	P	P	P	P
262175_at	P	P	P	P	P	P	P	P	P	P	P	P
262176_at	P	P	P	P	P	P	P	P	P	P	P	P
262177_at	P	P	P	P	P	P	P	P	P	P	P	P
262178_at	A	A	A	A	A	A	A	A	A	A	A	A
262179_at	A	A	A	A	A	A	A	A	A	A	A	A
262180_at	P	P	P	P	P	P	P	P	P	P	P	P
262181_at	P	P	P	P	P	P	P	P	P	P	P	P
262182_at	P	A	A	P	P	A	P	A	P	P	P	A
262183_at	P	P	P	P	P	P	P	P	P	P	P	P
262184_at	A	A	A	A	A	A	A	A	A	A	A	A
262185_at	A	A	A	A	A	A	A	A	A	A	A	A
262186_at	A	A	A	A	A	A	A	A	A	A	A	A
262187_at	A	A	A	A	A	A	A	M	A	A	A	A
262188_at	P	P	P	P	P	P	P	P	P	P	P	P
262189_at	P	P	P	P	P	P	P	P	P	P	P	P
262190_at	A	A	A	A	A	A	A	A	A	A	A	A
262191_at	A	A	A	A	A	A	A	A	A	A	A	A
262192_at	A	A	A	A	A	A	A	A	A	A	A	A
262193_at	P	P	P	P	P	P	P	P	P	P	P	P
262194_at	P	P	P	P	P	P	P	P	P	P	P	P
262195_at	P	P	P	P	P	P	P	P	P	P	P	P
262196_at	A	A	A	A	A	A	P	A	A	A	A	A
262197_at	P	P	P	P	P	P	P	P	P	P	P	P
262198_at	P	P	P	P	P	P	P	P	P	P	P	P
262199_at	P	P	P	P	P	P	P	A	P	A	P	P
262200_at	P	P	P	P	P	P	P	P	P	P	P	P
262201_at	P	P	P	P	P	P	P	P	P	P	P	P
262202_at	P	P	P	P	P	P	P	P	P	P	P	P
262203_at	P	P	P	P	P	P	P	P	P	P	P	P
262204_at	P	P	P	P	P	P	P	P	P	P	P	P
262205_at	P	P	P	P	P	P	P	P	P	P	P	P
262206_at	P	P	P	P	P	P	P	P	P	P	P	P
262207_at	P	P	P	P	P	P	P	P	P	P	P	P
262208_at	P	P	P	P	P	M	P	P	P	P	P	P
262209_at	P	P	P	P	P	P	P	P	P	P	P	P
262210_at	P	P	P	P	P	P	P	P	P	P	P	P
262211_at	P	P	P	P	P	P	P	P	P	P	P	P
262212_at	A	A	A	A	A	A	A	A	A	A	A	A
262213_at	A	A	A	M	A	A	P	M	P	P	A	P
262214_at	A	A	A	A	A	A	A	A	A	A	A	A
262215_at	P	P	P	P	P	P	P	P	P	P	P	P
262216_at	P	P	P	P	P	P	P	P	P	P	P	P
262217_at	P	A	M	A	P	A	A	P	A	A	P	P
262218_at	P	P	P	P	P	P	P	P	P	P	P	P
262219_at	P	P	P	P	P	P	P	P	P	P	P	P
262220_at	P	P	P	P	P	P	P	P	P	P	P	P
262221_at	P	P	P	P	P	P	P	P	P	P	P	P
262222_at	P	P	P	P	P	P	P	P	P	P	P	P
262223_at	P	P	P	P	P	P	P	P	P	P	P	P
262224_at	P	P	P	P	P	P	M	P	P	P	P	P
262225_at	P	P	P	P	P	P	P	P	P	P	P	P
262226_at	P	P	P	P	P	P	P	P	P	P	P	P
262227_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262228_at	P	P	P	P	P	P	P	P	P	P	P	P
262229_at	P	P	P	P	P	P	P	P	P	P	P	P
262230_at	P	P	P	P	P	P	P	P	P	P	P	P
262231_at	P	P	P	P	P	P	P	P	P	P	P	P
262232_at	A	A	A	P	P	A	P	A	P	M	A	A
262233_at	P	P	P	P	P	P	P	P	P	P	P	P
262234_at	P	P	P	P	P	P	P	P	P	P	P	P
262235_at	P	P	P	P	P	P	P	P	P	P	P	P
262236_at	P	P	P	P	P	P	P	P	P	P	P	P
262237_at	P	P	P	P	P	P	P	P	P	P	P	P
262238_at	P	P	P	P	P	P	P	P	P	P	P	P
262239_at	P	P	P	P	P	P	P	P	P	P	P	P
262240_at	A	A	A	A	A	A	A	A	A	A	A	A
262241_at	A	A	P	A	A	A	A	A	M	A	A	P
262242_at	P	P	P	P	P	P	P	P	P	P	P	P
262243_at	A	A	A	A	A	A	A	A	A	A	A	A
262244_at	P	P	P	P	P	P	P	P	P	P	P	P
262245_at	P	P	P	P	P	P	P	P	P	P	P	P
262246_at	P	P	P	P	P	P	P	P	P	P	P	P
262247_at	P	P	P	P	P	P	P	P	P	P	P	P
262248_at	P	P	P	P	P	P	P	P	P	P	P	P
262249_at	P	P	P	P	P	P	P	P	P	M	P	P
262250_at	P	P	P	P	P	P	P	P	P	P	P	P
262251_at	P	P	P	P	P	P	P	P	P	P	P	P
262252_at	A	A	A	A	A	A	A	A	A	A	A	A
262253_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262254_at	P	P	P	P	P	P	P	P	P	P	P	P
262255_at	P	P	P	P	P	P	P	P	P	P	P	P
262256_at	A	A	A	A	A	A	A	A	A	A	A	A
262257_at	A	A	A	A	A	A	A	A	A	A	A	A
262258_at	P	P	P	P	P	P	P	P	P	P	P	P
262259_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262260_at	P	P	P	P	P	P	P	P	P	P	P	P
262261_at	A	A	A	A	A	M	P	M	A	P	A	A
262262_at	P	P	P	P	P	P	P	P	P	P	P	P
262263_at	P	P	P	P	P	P	P	P	P	P	P	P
262264_at	P	P	P	P	P	P	P	P	P	P	P	P
262265_at	P	A	P	A	P	A	P	A	A	A	A	A
262266_at	A	A	M	A	M	A	A	A	A	A	A	A
262267_at	A	A	A	A	A	A	A	A	A	A	A	A
262268_at	A	P	A	A	A	A	P	A	A	M	A	A
262269_at	A	A	A	A	A	A	A	A	A	A	A	A
262270_x_at	A	A	A	A	A	A	A	A	A	A	A	A
262271_x_at	A	A	A	A	A	A	A	A	A	A	A	A
262272_at	P	P	P	P	P	P	P	P	P	P	P	P
262273_at	A	A	P	A	A	A	A	A	A	A	P	A
262274_at	P	P	P	P	P	P	P	P	P	P	P	P
262275_at	P	P	P	A	P	A	M	P	P	P	P	P
262276_at	A	A	A	A	A	A	A	A	A	A	A	A
262277_at	P	P	P	P	P	P	P	P	P	P	P	P
262278_at	A	A	A	A	A	A	A	A	A	A	P	A
262279_at	P	P	A	P	P	P	A	P	P	A	P	P
262280_at	P	P	P	P	P	P	P	P	P	P	P	P
262281_at	P	P	P	P	P	P	P	A	P	P	P	P
262282_at	A	A	A	A	A	A	A	A	A	A	P	A
262283_at	P	P	P	P	P	P	P	P	P	P	P	P
262284_at	P	P	P	P	P	P	P	P	P	P	P	P
262285_at	P	P	P	P	P	P	P	P	P	P	P	P
262286_at	P	P	P	P	P	P	P	P	P	P	P	P
262287_at	P	P	P	P	P	P	P	P	P	P	P	P
262288_at	P	P	P	P	P	P	P	P	P	P	P	P
262289_at	P	P	P	P	P	P	P	P	P	P	P	P
262290_at	A	A	A	A	A	A	A	A	A	A	A	A
262291_at	P	P	P	P	P	P	P	P	P	P	P	P
262292_at	P	P	P	P	P	P	P	P	P	P	P	P
262293_at	A	A	A	A	A	A	A	A	A	A	A	A
262294_at	A	A	A	A	A	A	A	P	A	P	A	A
262295_at	P	P	P	P	P	P	P	P	P	P	P	P
262296_at	P	P	P	P	P	P	P	P	P	P	P	P
262297_at	P	P	P	P	P	P	P	P	P	P	P	P
262298_at	P	P	P	P	P	P	P	P	P	P	P	P
262299_at	P	P	P	P	P	P	P	P	P	P	P	P
262300_at	A	A	A	A	A	A	A	A	A	A	A	A
262301_at	A	P	A	A	P	P	P	A	A	M	A	P
262302_at	A	A	A	A	A	A	A	A	A	A	A	A
262303_at	P	P	P	P	P	A	P	P	P	P	P	P
262304_at	P	P	P	P	P	P	P	P	P	P	P	P
262305_at	P	P	P	P	P	P	P	P	P	P	P	P
262306_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262307_at	P	P	P	P	P	P	P	P	P	P	P	P
262308_at	P	P	P	P	P	P	P	P	P	P	P	P
262309_at	A	A	A	P	A	P	A	A	A	A	M	A
262310_at	A	P	P	P	A	A	A	M	A	A	A	A
262311_at	A	A	P	A	M	A	A	A	M	A	A	A
262312_at	P	P	P	P	P	P	P	P	A	P	P	P
262313_at	P	P	P	P	P	P	P	P	P	P	P	P
262314_at	P	P	P	P	P	P	P	P	P	P	P	P
262315_at	P	P	P	P	P	P	P	P	P	P	P	P
262316_at	P	P	P	P	P	P	P	P	P	P	P	P
262317_at	P	P	P	P	P	P	P	P	P	P	P	P
262318_at	A	A	P	A	A	A	A	M	M	A	A	A
262319_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262320_at	A	A	A	A	A	A	A	A	A	A	A	A
262321_at	A	A	M	A	A	A	A	A	A	A	A	A
262322_at	P	P	P	P	P	P	P	P	P	P	P	P
262323_at	P	P	P	P	P	P	P	P	P	P	P	P
262324_at	A	A	A	A	A	A	A	A	A	A	A	A
262325_at	P	P	P	P	P	P	P	P	P	P	P	P
262326_at	P	P	P	P	P	P	P	P	P	P	P	P
262327_at	A	A	A	A	A	A	A	A	A	A	A	A
262328_at	A	A	A	A	A	A	A	A	A	A	A	A
262329_at	P	P	P	P	P	P	P	P	P	P	P	P
262330_at	A	A	A	A	A	A	A	A	A	A	A	A
262331_at	P	P	P	P	P	P	P	P	P	P	P	P
262332_at	A	A	A	A	A	A	A	A	A	A	A	A
262333_at	A	A	A	A	A	A	A	A	A	A	A	A
262334_at	A	A	P	P	P	A	A	P	A	A	A	P
262335_at	A	A	A	A	A	A	A	A	A	A	A	A
262336_at	P	P	P	P	P	P	P	P	P	P	P	P
262337_at	A	A	A	A	A	A	A	A	A	A	A	A
262338_at	P	P	P	P	P	P	P	P	P	P	P	P
262339_at	A	P	M	P	A	A	M	A	M	A	A	M
262340_at	P	P	P	P	P	P	P	P	P	P	P	P
262341_at	P	P	P	P	P	P	P	P	P	P	P	P
262342_at	P	P	P	P	P	P	P	P	P	P	P	P
262343_at	P	P	P	P	P	P	P	P	P	P	P	P
262344_at	P	P	P	P	P	P	P	P	P	P	P	P
262345_at	P	P	P	A	P	P	P	P	P	A	M	P
262346_at	P	P	P	P	P	P	P	P	P	P	P	P
262347_at	A	A	P	A	A	A	A	P	P	A	A	P
262348_at	P	P	P	P	P	P	P	P	P	P	P	P
262349_at	P	P	P	P	P	P	P	P	P	P	P	P
262350_at	A	A	A	A	A	A	A	A	A	A	A	A
262351_at	P	P	P	P	P	P	P	P	P	P	P	P
262352_at	A	A	A	A	A	A	A	A	A	A	A	A
262353_at	M	P	P	A	P	A	A	P	P	P	A	A
262354_at	P	P	P	P	P	P	P	P	P	P	P	P
262355_at	P	P	P	P	P	P	P	P	P	P	P	P
262356_at	A	A	A	A	A	A	A	A	A	A	A	A
262357_at	P	P	P	P	P	P	P	P	P	P	P	P
262358_at	A	A	A	A	A	A	A	A	A	A	A	A
262359_at	A	A	A	A	A	A	A	A	A	A	A	A
262360_at	P	P	P	P	P	P	P	P	P	P	P	P
262361_at	P	P	P	P	P	P	P	P	P	P	P	P
262362_at	P	P	P	P	P	P	P	P	P	P	P	P
262363_at	P	P	P	P	P	P	P	P	P	P	P	P
262364_at	A	A	P	A	A	P	A	P	P	A	A	A
262365_at	M	P	P	A	A	A	M	P	A	A	P	A
262366_at	P	P	P	P	P	P	P	P	P	P	P	P
262367_at	P	P	P	P	P	P	P	P	P	P	P	P
262368_at	P	P	P	P	P	P	P	P	P	P	P	P
262369_at	P	P	P	P	P	P	P	P	P	P	P	P
262370_at	P	P	P	P	P	P	P	P	P	P	P	P
262371_at	A	M	A	P	P	P	P	P	P	A	P	P
262372_at	P	P	P	P	P	P	P	P	P	P	P	P
262373_at	P	P	P	P	P	P	P	P	P	P	P	P
262374_s_at	P	P	P	P	P	P	P	P	P	P	P	P
262375_at	P	P	P	P	P	P	P	P	P	P	P	P
262376_at	P	P	P	P	P	P	P	P	P	P	P	P
