GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
245154_at	A	A	A	A	A	A	A	A	A	A	A	A
245155_at	P	P	P	P	P	P	P	P	P	P	P	P
245156_at	P	P	P	P	P	P	P	P	P	P	P	P
245157_at	A	A	A	A	A	A	A	A	A	A	A	A
245158_at	A	A	A	P	A	P	M	A	P	A	P	M
245159_at	A	A	A	A	A	A	A	A	A	A	A	A
245160_at	A	A	A	A	A	A	A	A	A	A	A	A
245161_at	P	P	P	M	P	P	P	P	A	M	P	P
245162_at	A	A	A	A	M	A	M	P	M	A	M	P
245163_at	P	A	A	A	A	A	A	A	A	A	A	A
245164_at	P	P	P	P	P	P	P	P	P	P	P	P
245165_at	P	P	P	P	P	P	P	P	P	P	P	P
245166_at	P	P	P	P	P	P	P	P	P	P	P	P
245167_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245168_at	P	P	P	P	P	P	P	P	P	P	P	P
245169_at	P	P	P	P	P	P	P	P	P	P	P	P
245170_at	A	A	A	A	A	A	A	A	A	A	A	A
245171_at	M	P	P	P	P	P	P	P	P	P	P	P
245172_at	P	P	P	P	P	P	P	P	P	P	P	P
245173_at	P	P	P	P	P	P	P	P	P	P	P	P
245174_at	P	P	P	P	P	P	P	P	P	P	P	P
245175_at	P	P	P	P	P	P	P	P	P	P	P	P
245176_at	P	P	P	P	P	P	P	P	P	P	P	P
245177_at	A	A	A	A	A	A	A	A	A	A	A	A
245178_at	P	P	P	P	P	P	P	P	P	P	P	P
245179_at	P	P	P	P	P	P	P	P	P	P	P	P
245180_at	P	P	P	P	P	P	P	P	P	P	P	P
245181_at	P	P	P	P	P	P	P	P	P	P	P	P
245182_at	P	P	P	P	P	P	P	P	P	P	P	P
245183_at	P	P	P	P	P	M	P	P	P	P	M	P
245184_at	A	A	A	A	A	A	A	A	A	A	A	A
245185_at	M	P	P	P	P	A	P	P	P	P	P	P
245186_at	A	A	P	A	A	A	A	A	M	A	A	M
245187_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245188_at	P	P	P	P	P	P	P	P	P	P	P	P
245189_at	A	A	A	A	A	A	A	A	A	A	A	A
245190_at	P	P	P	P	P	P	P	P	P	P	P	P
245191_at	A	A	A	A	A	A	A	A	A	A	A	A
245192_at	A	A	A	A	A	A	A	A	A	A	A	A
245193_at	P	P	P	P	P	P	P	P	P	P	P	P
245194_at	P	P	P	P	P	P	P	P	P	P	P	P
245195_at	P	P	P	P	P	P	P	P	P	P	P	P
245196_at	P	P	P	P	P	P	P	P	P	P	P	P
245197_at	P	P	P	P	P	P	P	P	P	P	P	P
245198_at	P	P	P	P	P	P	P	P	P	P	P	P
245199_at	P	P	P	P	P	P	P	P	P	P	P	P
245200_at	P	P	P	P	P	P	P	P	P	P	P	P
245201_at	P	P	P	P	P	P	P	P	P	P	P	P
245202_at	P	P	P	P	P	P	P	P	P	P	P	P
245203_at	A	A	A	A	A	A	A	A	A	A	A	A
245204_at	A	A	A	A	A	A	A	A	A	A	A	A
245205_at	A	A	A	A	A	A	A	A	A	A	A	A
245206_at	P	P	P	P	P	P	P	P	P	P	P	P
245207_at	P	P	P	P	P	P	P	P	P	P	P	P
245208_at	P	P	P	P	P	P	P	P	P	P	P	P
245209_at	P	P	P	P	P	P	P	P	P	P	P	P
245210_at	P	P	P	P	P	P	P	P	P	P	P	P
245211_at	P	P	P	P	P	P	P	P	P	P	P	P
245212_at	A	A	A	A	A	A	A	A	A	A	A	A
245213_at	P	P	P	P	P	P	P	P	P	P	P	P
245214_at	A	A	A	A	A	A	A	A	A	A	A	A
245215_at	P	P	P	P	P	P	P	P	P	P	P	P
245216_at	P	P	P	P	P	P	P	P	P	P	P	P
