Reporter Identifier	VALUE
AT1G07830_1	8628
AT1G07840_1	2697
AT1G07840_2	391
AT1G07840_3	335
AT1G07850_1	216
AT1G07860_1	562
AT1G07870_1	7038
AT1G07880_1	2792
AT1G07880_2	2712
AT1G07885_1	408
AT1G07890_1	20977
AT1G07890_2	23462
AT1G07890_3	29301
AT1G07890_4	22694
AT1G07890_6	2473
AT1G07890_8	2014
AT1G07900_1	1199
AT1G07901_1	8346
AT1G07910_1	3111
AT1G07920_1	25882
AT1G07930_1	18571
AT1G07930_2	23135
AT1G07940_1	27448
AT1G07950_1	1438
AT1G07960_1	4869
AT1G07960_2	146
AT1G07960_3	3544
AT1G07970_1	4268
AT1G07980_1	3685
AT1G07985_1	208
AT1G07990_1	6074
AT1G08000_1	2653
AT1G08000_2	523
AT1G08005_1	1107
AT1G08010_1	2044
AT1G08010_2	8202
AT1G08030_1	4104
AT1G08035_1	108
AT1G08040_1	4440
AT1G08050_1	4375
AT1G08060_1	3874
AT1G08065_1	97
AT1G08070_1	774
AT1G08080_1	191
AT1G08090_1	4550
AT1G08100_1	711
AT1G08105_1	722
AT1G08110_1	7919
AT1G08110_2	544
AT1G08110_3	7311
AT1G08110_4	7711
AT1G08115_1	1448
AT1G08120_1	632
AT1G08125_1	4798
AT1G08130_1	4476
AT1G08135_1	171
AT1G08140_1	505
AT1G08150_1	337
AT1G08160_1	16695
AT1G08165_1	90
AT1G08170_1	248
AT1G08180_1	206
AT1G08190_1	5974
AT1G08200_1	15784
AT1G08210_1	7220
AT1G08220_1	1348
AT1G08220_2	3785
AT1G08230_2	1522
AT1G08250_1	985
AT1G08260_1	252
AT1G08260_2	6381
AT1G08270_1	1514
AT1G08270_2	593
AT1G08280_1	5025
AT1G08290_1	3528
AT1G08300_1	969
AT1G08310_1	479
AT1G08315_1	3348
AT1G08320_1	2024
AT1G08320_2	112
AT1G08340_1	4256
AT1G08350_1	5670
AT1G08360_1	14054
AT1G08370_1	9990
AT1G08380_1	4900
AT1G08390_1	1718
AT1G08400_1	1287
AT1G08410_1	6401
AT1G08420_1	13196
AT1G08430_1	858
AT1G08440_1	297
AT1G08450_1	7420
AT1G08450_2	7023
AT1G08460_1	3807
AT1G08465_1	76
AT1G08470_1	5110
AT1G08480_1	6445
AT1G08490_1	6413
AT1G08500_1	2176
AT1G08510_1	12390
AT1G08520_1	5600
AT1G08530_1	1428
AT1G08540_1	2614
AT1G08550_1	1514
AT1G08560_1	10072
AT1G08570_1	3824
AT1G08570_2	3756
AT1G08570_4	3873
AT1G08580_1	4942
AT1G08590_1	4567
AT1G08600_1	6469
AT1G08610_1	2007
AT1G08620_1	4316
AT1G08630_1	119
AT1G08630_2	348
AT1G08630_3	50
AT1G08640_1	2642
AT1G08650_1	2447
AT1G08660_1	8111
AT1G08660_2	7781
AT1G08670_1	364
AT1G08680_1	7377
AT1G08695_1	215
AT1G08700_1	4023
AT1G08710_1	395
AT1G08710_2	181
AT1G08720_1	5151
AT1G08730_1	435
AT1G08735_1	550
AT1G08740_1	659
AT1G08750_1	87
AT1G08750_2	3366
AT1G08760_1	6682
AT1G08770_1	1990
AT1G08780_1	5991
AT1G08790_1	203
AT1G08800_1	2566
AT1G08810_1	103
AT1G08810_2	104
AT1G08820_1	8976
AT1G08830_1	7728
AT1G08830_2	11476
AT1G08840_1	2789
AT1G08845_1	2253
AT1G08860_1	606
AT1G08870_1	1701
AT1G08880_1	4139
AT1G08890_1	4571
AT1G08900_1	717
AT1G08900_3	694
AT1G08910_1	7080
AT1G08920_1	12058
AT1G08920_2	6183
AT1G08920_3	215
AT1G08930_1	6854
AT1G08940_1	5284
AT1G08960_1	3384
AT1G08970_1	6018
AT1G08970_2	4856
AT1G08970_4	143
AT1G08980_1	4853
AT1G08985_1	183
AT1G08990_1	1876
AT1G09000_1	2530
AT1G09010_1	5936
AT1G09020_1	11366
AT1G09026_1	60
AT1G09030_1	187
AT1G09040_1	2115
AT1G09050_1	2454
AT1G09060_1	6296
AT1G09070_1	28394
AT1G09080_1	378
AT1G09090_1	4433
AT1G09090_2	5059
AT1G09100_1	5281
AT1G09130_1	5405
AT1G09130_2	519
AT1G09140_1	10678
AT1G09140_2	5830
AT1G09150_1	9310
AT1G09155_1	310
AT1G09157_1	335
AT1G09160_1	7257
AT1G09160_2	8959
AT1G09170_1	249
AT1G09176_1	544
AT1G09180_1	1052
AT1G09190_1	2185
AT1G09195_1	602
AT1G09200_1	11721
AT1G09210_1	12510
AT1G09220_1	792
AT1G09230_1	2622
AT1G09240_1	239
AT1G09245_1	132
AT1G09250_1	2728
AT1G09260_1	129
AT1G09270_1	8169
AT1G09270_2	8120
AT1G09280_1	5761
AT1G09290_1	4907
AT1G09300_1	4200
AT1G09300_2	918
AT1G09310_1	1362
AT1G09320_1	4513
AT1G09330_1	9375
AT1G09340_1	1462
AT1G09350_1	321
AT1G09360_1	145
AT1G09370_1	87
AT1G09380_1	356
AT1G09390_1	7812
AT1G09400_1	476
AT1G09410_1	551
AT1G09415_1	2152
AT1G09420_1	3494
AT1G09421_1	1386
AT1G09430_1	8401
AT1G09440_1	5889
AT1G09450_1	539
AT1G09460_1	5960
AT1G09470_1	3503
AT1G09480_1	198
AT1G09483_1	522
AT1G09486_1	33
AT1G09490_1	983
